CÓDIGO_INSTITUCIÓN_PADRE;CÓDIGO_INSTITUCIÓN;NOMBRE_INSTITUCIÓN;ESTADO_INSTITUCIÓN;CARÁCTER_ACADÉMICO;SECTOR;REGISTRO_UNICO;CÓDIGO_SNIES_DEL_PROGRAMA;CÓDIGO_ANTERIOR_ICFES;NOMBRE_DEL_PROGRAMA;TITULO_OTORGADO;ESTADO_PROGRAMA;JUSTIFICACION;JUSTIFICACION_DETALLADA;RECONOCIMIENTO_DEL_MINISTERIO;RESOLUCIÓN_DE_APROBACIÓN;FECHA_DE_RESOLUCIÓN;VIGENCIA_AÑOS;FECHA_DE_REGISTRO_EN_SNIES;CAMPO_AMPLIO;CAMPO_ESPECÍFIC;CAMPO_DETALLADO;ÁREA_DE_CONOCIMIENTO;NÚCLEO_BÁSICO_DEL_CONOCIMIENTO;NIVEL_ACADÉMICO;NIVEL_DE_FORMACIÓN;MODALIDAD;NÚMERO_CRÉDITOS;NÚMERO_PERIODOS_DE_DURACIÓN;PERIODICIDAD;SE_OFRECE_POR_CICLOS_PROPEDÉUT;PERIODICIDAD_ADMISIONES;PROGRAMA_EN_CONVENIO;DEPARTAMENTO_OFERTA_PROGRAMA;MUNICIPIO_OFERTA_PROGRAMA;COSTO_MATRÍCULA_ESTUD_NUEVOS
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Activa;Universidad;Oficial;;19;110146580001100111100;ADMINISTRACION DE EMPRESAS;ADMINISTRADOR(A) DE EMPRESAS;Activo;;;Acreditación de alta calidad;19584;43005;6;35875,34845;Administración de Empresas y Derecho;Educación comercial y administración;Gestión y administración;Economía, administración, contaduría y afines;Administración;Pregrado;Universitaria;Presencial;164;10;Semestral;No;Semestral;N;Bogotá D.C.;Bogotá, D.C.;
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Activa;Universidad;Oficial;;13;110143010101100111100;ANTROPOLOGIA;ANTROPOLOGO(A);Activo;;;Acreditación de alta calidad;19587;43005;8;35875,34833;Arte y Humanidades;Humanidades (Excepto idiomas);Historia y arqueología;Ciencias sociales y humanas;Antropología y  artes liberales;Pregrado;Universitaria;Presencial;122;9;Semestral;No;Semestral;N;Bogotá D.C.;Bogotá, D.C.;
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Activa;Universidad;Oficial;;30;110147200001100111100;ARQUITECTURA;ARQUITECTO(A);Activo;;;Acreditación de alta calidad;11945;42537;6;35875,34876;Ingeniería, Industria y Construcción;Arquitectura y construcción;Arquitectura y urbanismo;Ingeniería, arquitectura, urbanismo y afines;Arquitectura;Pregrado;Universitaria;Presencial;179;10;Semestral;No;Semestral;N;Bogotá D.C.;Bogotá, D.C.;
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Activa;Universidad;Oficial;;2497;110147300001100111100;ARTES PLASTICAS;MAESTRO EN ARTES PLASTICAS;Activo;;;Acreditación de alta calidad;12325;41180;6;35875,34862;Arte y Humanidades;Artes;Bellas artes;Bellas artes;Artes plásticas, visuales y afines;Pregrado;Universitaria;Presencial;166;10;Semestral;No;Semestral;N;Bogotá D.C.;Bogotá, D.C.;
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Activa;Universidad;Oficial;;31;110145740001100111100;BIOLOGIA;BIOLOGO(A);Activo;;;Acreditación de alta calidad;16035;41253;8,5;35875,34878;Ciencias Naturales, Matemáticas y Estadística;Ciencias biológicas y afines;Biología;Matemáticas y ciencias naturales;Biología, microbiología y afines;Pregrado;Universitaria;Presencial;163;10;Semestral;No;Semestral;N;Bogotá D.C.;Bogotá, D.C.;
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Activa;Universidad;Oficial;;3140;110143200001100111100;CIENCIA POLÍTICA;POLITÓLOGO (A);Activo;;;Acreditación de alta calidad;3981;42430;8;35875,34878;Ciencias Sociales, Periodismo e Información;Ciencias sociales y del comportamiento;Ciencias políticas y educación cívica;Ciencias sociales y humanas;Ciencia política, relaciones internacionales;Pregrado;Universitaria;Presencial;126;8;Semestral;No;Semestral;N;Bogotá D.C.;Bogotá, D.C.;
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Activa;Universidad;Oficial;;106341;106341;CIENCIAS DE LA COMPUTACIÓN;CIENTÍFICO(A) DE LA COMPUTACIÓN;Activo;;;Registro calificado;12257;42908;7;42913,6213;Ciencias Naturales, Matemáticas y Estadística;Matemáticas y estadística;Matemáticas;Matemáticas y ciencias naturales;Matemáticas, estadística y afines;Pregrado;Universitaria;Presencial;139;9;Semestral;No;Semestral;N;Bogotá D.C.;Bogotá, D.C.;
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Activa;Universidad;Oficial;;6;110147910401100111100;CINE Y TELEVISION;REALIZADOR(A) DE CINE Y TELEVISION;Activo;;;Acreditación de alta calidad;538;42384;6;35875,3495;Arte y Humanidades;Artes;Técnicas audiovisuales y producción para medios de comunicación;Bellas artes;Artes plásticas, visuales y afines;Pregrado;Universitaria;Presencial;158;10;Semestral;No;Semestral;N;Bogotá D.C.;Bogotá, D.C.;
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Activa;Universidad;Oficial;;16895;110146570831100111100;CONTADURIA PUBLICA;CONTADOR(A) PUBLICO(A);Activo;;;Acreditación de alta calidad;6073;43628;8;37567;Administración de Empresas y Derecho;Educación comercial y administración;Contabilidad e impuestos;Economía, administración, contaduría y afines;Contaduría pública;Pregrado;Universitaria;Presencial;167;10;Semestral;No;Semestral;N;Bogotá D.C.;Bogotá, D.C.;
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Activa;Universidad;Oficial;;17;110143403201100111100;DERECHO;ABOGADO(A);Activo;;;Acreditación de alta calidad;17142;41929;6;35875,34843;Administración de Empresas y Derecho;Derecho;Derecho;Ciencias sociales y humanas;Derecho y afines;Pregrado;Universitaria;Presencial;180;10;Semestral;No;Semestral;N;Bogotá D.C.;Bogotá, D.C.;
